,Tipo_Comida,Calificacion,Comentario,Calificacion_Comentario
393,"Latina, Centroamericana, Costarricense",negative,la comida malita he comido mejor en una sodita los cócteles una tristeza y la atención apenas y básica a todo lo anterior hay que agregarle que es muy caro en relación a la calidad de comida espero no tener que volver,1
394,"Latina, Centroamericana, Costarricense",negative,pésimo servicio ayer 4 de octubre de 2016 fui hoy con mi esposo y una tía que tiene más de 40 años de vivir en el extranjero ellos dos decidieron el plato buffet cuál fue mi sorpresa que por agarrar algo de comer del plato de mi esposo el mesero que llevaba ratos vigilando mis movimientos se acercó para decirme que yo debía pagar los 32 dólares por el servicio buffet por lo que estaba comiendo de su plato ósea me obligaron a pagar ese dinero por solo probar un bocadillo sólo faltó que me cobraran también porque mi hijo de 1 año y 8 meses también probó de su plato una cuenta por pagar para el olvido,1
395,"Latina, Centroamericana, Costarricense",negative,en primera instancia el menú me pareció poco variado el lugar tiene una vista impresionante pero creo q es lo mejor que tiene el famoso mirador no me gustó que sirvieran la comida en plato de metal además el fresco está insípido fresa en agua el precio me pareció elevado para la calidad de comida,2
396,"Latina, Centroamericana, Costarricense",negative,fuimos hoy a conocer el lugar y que vista tan linda del valle central pero solo eso fue lo bueno por otra parte que concepto de cocina tradicional costarricense tiene está gente por dios una cosa es el concepto rústico y otro la falta de aseo comida preparada con el menor de los afectos y cuidados precios inflados comparados con los restaurantes más exquisitos del país y además de todo servidos en platos de dudosa procedencia higiénica los baños huelen mal y son incómodos además de muy mal decorados una cosa es la decoración rústica y otra es esforzarse lo mínimo porque las cosas se vean limpiaspésimo al que me pregunte le diré que no se pierda su dinero yendo ahí ojo al plato de hierro raspado servido de frijoles apelmazados nunca molidos deplorables condiciones para nunca volver,1
397,"Latina, Centroamericana, Costarricense",negative,si van a tener precios tan altos lo mínimo es q la comida fuera deliciosa la sirvieran en un rango aceptable de tiempo más de una hora no es aceptable y que el servicio fuera impecable lo único recomendable es la vista x lo demás no creo q vuelva,2
398,"Latina, Centroamericana, Costarricense",negative,realmente no vale la pena mucha gente nos lo recomendó sin embargo estuvo muy lejos de ser lo q esperábamos la comida esta ok pero no espectacular el servicio es pésimo de los peores q me han tocado el lugar en si deja mucho que desear manteles de plástico lugar descuidado no volvería ni lo recomiendo,2
399,"Latina, Centroamericana, Costarricense",positive,el lugar tiene una localización impresionante con una vista realmente digna de disfrutar si van por la noche aseguren de llevar abrigo que hace frío allá arriba,3
400,"Latina, Centroamericana, Costarricense",negative,si quiere disfrutar la increible vista tiene varias opciones entre al restaurant vaya al mirador no se preocupe nadie lo va a saludar ni dar la bienvenida o hagalo desde el parqueo y disfrutela despues vaya a comer a algún otro lugar le explico eramos 5 personas el restaurant no estaba lleno y aun asi nadie nos atendio hasta aproximadamente 15 minutos cuando nos levantamos a pedir servicio esquivando dos perros callejeros en medio del restaurante nuestro mesero malencarado nunca saludo nunca gracias ni con mucho gusto se molesto cuando le preguntamos qu e incluia el plato mixto la comida tardó bastante nunca ofreció bebidas extra ni postre o café la cuenta tardó mucho para traerla y cuando la trajo estaba facturando bebidas extra se molesto y arrebato la cuenta sin decir nada es lamentable y vergonzoso ya que andabamos con turista que hasta ese momento no había experimentado malos modales y pesimo servicio al cliente en nuestra querida costa ricaojala el review les sirva para volver a ser ló que hace años era una experiencia inolvidable en tiquicia,1
401,"Latina, Centroamericana, Costarricense",negative,muy linda vista pero la comida y el servicio considero que es deficiente la relación entre comida calidad cantidad y precio me parece que no es buena,2
402,"Latina, Centroamericana, Costarricense",positive,vista de la ciudad es fantástico es un lugar sencillo pero muy bien decorado de una manera tradicional sirven comida típica de costa rica bien preparados también tenía un espectáculo de danzas típicas,4
403,"Churrasquería, Parrillada, Argentina",negative,estuvimos 15 minutos sentados esperando le indicamos a la mesera que no nos habían atendido y ni aún así llegaron a tomarnos la orden términos yendo a otro lugar pésimo servicio,1
404,"Churrasquería, Parrillada, Argentina",positive,siempre es un placer visitar este restaurante donde nos atienden personalmente las entradas chorizo y queso provoleta al oreganatode plato pricipal media entraña con papas arturito,5
405,"Churrasquería, Parrillada, Argentina",positive,buena comida y buen servicio exelentes promociones 100 porciento recomendado bastantes opciones entre carne pollo y mariscos,3
406,"Churrasquería, Parrillada, Argentina",negative,ordené el chuletón importado pensando que podría ser carne de res al estilo americano no fue era fibroso y algo duro aunque algo sabroso pero por 40 realmente esperaba más el intercontinental ofrece un chuletón por 30 que es absolutamente maravilloso así que sáltate este lugar y dirígete al intercontinental,2
407,"Mariscos, Churrasquería, Latina, Costarricense, Internacional",positive,llevo muchos años de ir a la cascada desde pequeño increíble como mantienen la calidad y el servicio,5
408,"Mariscos, Churrasquería, Latina, Costarricense, Internacional",negative,tuve la pésima idea de ir a comer una de las noches que estaban con esas promociones de cupones fatal demasiada gente pésimo servicio todas las porciones reducidas a pesar que yo no compre con cupón insisto mala idea,1
409,"Mariscos, Churrasquería, Latina, Costarricense, Internacional",positive,las carnes son deliciosas de excelente calidad y el servicio es sumamente bueno las carnes son servidas con frijoles papas y maduros fritos,5
410,"Mariscos, Churrasquería, Latina, Costarricense, Internacional",positive,muy buena relación entre el precio y el servicio no es de lo más cómodo del mercado en cuanto a precio pero vale la pena el grupo con el que fuimos se sintió muy cómodo en particular los niños que nos acompañaban,5
411,"Mariscos, Churrasquería, Latina, Costarricense, Internacional",positive,la comida excelente pero la atención desde el portero de afuera hasta que uno sale con los saloneros que llevan toda la vida trabajando ahí hacen de la experiencia un plus calidad intacta servicio impecable precio razonable con la calidad general de todo lo que uno recibe sin lugar a dudas si uno quiere estar seguro que va a comer bien es de los pocos lugares en la ciudad que siempre he comido excelente,5
412,"Mariscos, Churrasquería, Latina, Costarricense, Internacional",negative,lo unico que valio la pena fueron las salsas y encurtidos que ponen en la mesa la carne sabia como macerada en vinagre el lugar es realmente feo pareciera estar en un autoservicio con una calle que lo circunda y gente de lo mas extraña al rededor precios altisimos de parrilla internacional dan ganas de salir corriendo,2
413,"Italiana, Argentina",negative,falta capacitar más al personal la mucha que me atendió no sabia explicar cómo venía la carne del plato del día las porciones son grandes pero la comida no es tan buena recomiendo mejoran la calidad tal vez menos porción más calidad por lo que se paga se puede comer mejor en otra parte,2
414,"Costarricense, Mariscos, Internacional",positive,excelente servicio y calidad en la comida y me reencantan los ostiones frescos y la langosta es excelente,4
415,"Costarricense, Mariscos, Internacional",negative,ordenamos 3 platos fuertes y una entrada con 3 cervezas y 4 copas de vino y nos cobraron 200 dólares la comida estaba bien básica sencilla y nada extraordinario una de las entradas fue el tartar de atun y cuando me lo sirvieron quedé anonadada ya que lo sirvieron con un paquete de galleta sodacasi me infarto que lugar que cobra 15 mil colones por un plato pequeño coloca una galleta soda pésimo,1
416,"Costarricense, Mariscos, Internacional",negative,el mesero nos recomendo el especial del día un arroz con mariscos el precio de cada plato solo el arroz alto us 25 ¢ 12900 cada uno la porción era buena y acompañado de una buena cantidad de mariscos con buen sabor pero el arroz totalmente crudo sin sabor como pasado por agua inaceptable para un lugar como estos en cualquier restaurante de menor perfil hubiera comido un mejor arroz que este y a la tercera parte de su precio el lugar con una decoración simplona y sin alma la atención mala para no volver,2
417,"Costarricense, Mariscos, Internacional",negative,almorzamos el sábado 3 de agosto ya había comido varias veces en este restaurante anteriormente nos gustaba pero el menú cambió y a nosotros no nos gustó sus nuevas propuestas siempre como corvina y la que solicité otra vez mi sorpresa fue recibir solo la mitad de la porción revisé el precio y noah el precio no bajó pero lo que más de sorprendió fue el plato de niños pedimos las palomitas de camarón por c6000 colones tenía 6 camarones pink el más pequeño de los camarones y un poquito de papas fritas le preguntamos a la mesera qué había sucedido con las porciones y nos dijo que esas eran las porciones al final llegó con otros 6 camarones para compensar la relación de precio por cantidad uno sabe que los precios no son baratos en product c pero si pagas alto espera que el estándar de la comida sea igual de alta ojalá lo corrijan,2
418,"Costarricense, Mariscos, Internacional",negative,el lugar parece bonito pero cuando pedí un ceviche sabía muy divertido una salida más tarde me dieron borracho no vayas a este lugar es muy caro y lo que se obtiene es enfermar durante varios días,1
419,"Costarricense, Mariscos, Internacional",negative,las ostras rockefeller era terrible pero la presentación era agradable nosotros nos moríamos de hambre así que comimos unos pocos pero no vale la pena el servicio era bueno para costa rica pero esperar una hora para la comida no era fresco nos dimos cuenta de que estaban ocupados así que no puedo decir nada pero estábamos listos para ir a la pista de comida al lado de conseguir algo sólo había tres de nosotros y después de esperar una hora nos sirvieron cada uno a la vez mi sopa de langosta era absolutamente incomible pregunté por el pan y lo trajeron rápidamente pero por desgracia el chef intentó vestido sin tostar y derramó salsa de mantequilla de tipo de tiempo y que también era terrible por el lado bueno el pescado de mi hija y patatas fritas eran excelentes y ella compartió conmigo así no me hambre el pescado de mi marido fue traído a la mesa unos 10 minutos después de nuestra comida y mientras la presentación era el mejor que he visto en un conjunto preparado pescado resultó ser el primer corte que ni siquiera había preparado y tenía que ser devuelto él esperamos unos 10 minutos más y nos trajeron el pescado cocinado y vuelta fue muy bueno nos dijeron que el camarero que mi sopa era incomible y preguntó por qué pero no había ninguna oferta para nada más o un reembolso nosotros pagamos un precio completo que era mucho y quedamos muy decepcionados nuestra cevecheria local tiene mejor pescado para cambiar a colones no sólo 3000 sin la presentación no volveremos hay muchos buenos restaurantes en la zona de desechos nuestro tiempo y dinero con este lugar la cerveza era excelente también,2
420,"Costarricense, Mariscos, Internacional",positive,yo soy de vancouver b c como nadie lo sabía vancouver y seattle ofrecen algunos de los mejores mariscos encontramos en cualquier parte del mundo ahora que viven en costa rica es difícil si no es difícil encontrar marisco que recuerda a casa claro hay un montón de peces en costa rica pero no es lo mismo bueno pero no es lo mismo producto c es increíblemente fantástico y se merece cada poco de reconocimiento que conseguir por primera vez en muchos años pedí ostras enteras ostras enteras en costa rica y salmón coho increíbleel servicio era amable y atento el propietario hizo un gran trabajo en este entorno y espero que él es capaz de mantener lo que ha creadono vivo en san josé pero no podemos esperar a volver,5
421,"Bar, Centroamericana, Internacional, Pub",positive,con frecuencia vamos a pasar el rato ahí la calidad de la comida es un excelente complemento para la calidad de los cocteles que prepara oscar y el equipo súper recomendado si quieren probar gin and tonic de calidad,5
422,"Bar, Centroamericana, Internacional, Pub",positive,la comida es simplemente espectacular las bebidas un éxito especialmente los gin and tonic servicio amable y un lugar bonito limpio y bien hecho probablemente el único bar de verdad en la zona de escazu,5
423,"Centroamericana, Costarricense, Española, Sudamericana",positive,buena opcion para almuerzo ejecutivo delicioso sabor cliente frecuente del casado,4
424,"Mariscos, Asiática, Polinesia, Hawaiana",positive,lugar agradable ambiente cálido y especialmente buenísima comida a precio razonable además de la variedad de opciones para elegir,5
425,"Italiana, Pizzería",negative,después de esperar más de 10 minutos a ser atendida finalmente el mesero venía en mi dirección pero que sorpresa se fue directo a la entrada a atender a un par de extranjeros y cuando amablemente le pedí que me asignase un menú solo dijo que me esperara al final de mala gana me puso el menú en la mesa me sentí tan mal que simplemente me levanté y me fuítienen que cuidar a cada cliente no solo a los que les parece que tienen más dinero,1
426,"Italiana, Pizzería",positive,fuimos a cenar con mi marido nos pedimos raviolis que por lo cierto es muy buena pastacuando llega nuestro pedido le pido al camarero pan el cual me dice que no tienen pan solo focacciacomo todo buen restaurant italiano como cortesía tienen que poner una panera y el queso rallado son dos elementos indispensables en una mesa tana no es lo mismo la focaccia que el pan al paladar,3
427,"Italiana, Pizzería",negative,comida italiana comercial y de precio alto en comparación con tamaño cantidad calidad y sabor si buscan un verdadero restaurante italiano esta no es una opción,2
428,"Bar, Contemporánea",negative,solo he ido una vez pero cuando hay un mesero para todo el lugar no puedes esperar nada bueno estuvimos 20 minutos 4 personas esperando que nos atendieran y no fue posible terrible y nunca volvere,1
429,"Bar, Contemporánea",negative,una tarde de viernes fui allí con mi novio el lugar estaba vacío apenas 5 personas en todo el bar y tardaron más de 15 minutos en preguntar que queríamos y durante todo el tiempo el servicio fue muy lento no malo pero si muy lento ni me imagino lo que se pueden tardar cuando sea hora pico además cobraron algo que no era,1
430,Estadounidense,positive,un excelente lugar para comer rico en familia con amigos o inclusive en pareja un lugar agradable,5
431,Estadounidense,positive,he conocido chillis hace unos meses a tras con mi esposa el lugar es muy lindo la comida a mi parecer muy regular no me vuelve loco,3
432,Estadounidense,negative,la comida no es la misma de antes pedí el monterrey chicken y texas jalapeños fries estuvieron fatales no volveré,1
433,Estadounidense,negative,decidimos ir almorzar un viernes para festejar el cumpleaños de una amiga lamentablemente desde el inicio hasta el final fue una desilusión completa el mesero tenía una prisa por atender y una actitud ligeramente grosera durante todo el servicio la solicitud fueron unos tacos de camarón picantes que llegaron sin picante y como los tacos solo eran camarones sin sabor con repollo solicito limón adicional y la respuesta fue yo se lo traigo pero se lo tengo que cobrar posteriormente solicito una bebida adicional y me traen otra y la respuesta es que no sabía que estaba tomando entre la espera por la comida y la espera de la cuenta tardaron más de 45 minutosconclusión muy mal servicio mala atención y una pésima opción para un almuerzo de cumpleaños,1
434,Estadounidense,negative,la pasta cremosa de pollo y pesado no muy sabroso y pequeña la limonada era extremadamente ácido no es bueno en absoluto la música está bien pero el restaurante el aire acondicionado estaba demasiado frío,2
435,Costarricense,negative,no confundido por las decoraciones no es un típico restaurante de comida ni un restaurante mexicano despide de cómo el lugar estaba decoradopollo asado está bien en términos de tamaño y sabor sin embargo es bastante caro si lo comparas con lugares similares en donde obtener pollo asado tipo de 1 5 x 2 x veces el precio medio normal para este tipo de comidapara mí fue un wow primera y última visita no debido a la calidad pero el precio es algo a considerar otros sitios similares que están muy cerca y con mejores precios y la misma calidad,2
436,Costarricense,negative,vivo muy cerca de este lugar de hecho me pase frente a varias veces por semana después de ver muchas veces siempre he querido probarlo no vale la pena me esperaba un jugoso pollo con lados agradables y me decepcionóno me malinterpretes puedo allí de nuevo pero no será mi elección la comida está bien alrededor de la media de la cantidad estaba bien incluso más de lo que puedo comerel lugar es rústico y sencillo con mesas de madera y asientos de maderaquizás no está mal para un almuerzo rápido si trabaja cerca,2
437,Costarricense,positive,siempre una delicia en casa con 4 salsas diferentes las alas se caliente fresco y sabroso normalmente una vez al mes nos encanta sus alas probarlas,5
438,N/E,negative,que malo llevarse la misma impresion dos veces del mismo lugar fui a comer con mi familia pasamos a ordenar y una de las cajeras se comporto muy grosera como apurada des,1
439,N/E,positive,un servicio excepcional desde que llegamos me ayudaron a parquear las personas del restaurante nos dieron la bienvenida y nos preguntaron cuantas personas eramos para alistarnos una mesa cuando fuimos a ordenar la cajera nos explicó el menú y nos hizo recomendaciones una vez que nos sentamos la comida y bebidas llegaron muy pronto la opcion de la barra es muy buena ya que hay mucha variedad el personal muy atento y amable y nos gusto mucho que el administrador llegara a la mesa a conversar con nosotros sin duda una experiencia gastronomica muy agradable y que en pocos restaurantes se tiene muy recomendado para quienes buscan salir de la rutina,5
440,N/E,negative,para empezar el gerente que nos reconoció de su restaurante anterior el bar de pizza tuvo la audacia de insultar a mi novia y a mí con un comentario muy inapropiadoademás de eso mis huevos de desayuno tenían el sabor del aceite de pescado o una sartén sucia soy muy alérgico al pescado pero afortunadamente no tuve reacción devolví el plato solo para que me devolvieran un plato con un pelo debajo del huevo y el pinto completamente disgustado en este punto pedí un plato diferente pero aún así no pude disfrutar lo que recibí,1
441,Mariscos,positive,no sabía que podría tener ostras frescas en costa rica ahora lo sé mejor si te gustan las ostras go fish es imprescindibleel croaker con maracuya fue encantador todo esto rematado con un gran servicio y un entorno de asientos realmente agradable,4
442,Mariscos,negative,como mejillones pedimos el primer plato tuve que usar un cuchillo para cortar ellos eran tan malos salsa sólo sin problema pan era una versión italiana de pan sin sustancia barato no había nada de ambiente y los camareros parecían aburridos y desinteresado no hay sonrisas nunca preguntó cómo estaba la comida se vierte en el vino pequeño sinceramente nunca he tenido una experiencia tan desalmado en costa rica y he vivido aquí durante 12 años y he comido en innumerables restaurantes encantadores y carísima 45 dos vasos de vino una app y agua embotellada,1
443,Mariscos,negative,estoy muy decepcionado con este lugar el ceviche estaba bien pero mi atún sabia mal sólo arroz aguacate y atún nada especial muy caro el camarero muy poco profesional si estás dispuesto a pagar casi 5 por limonada y tirar el dinero este es el lugarsin duda no volveremos,1
444,"Latina, Española, Centroamericana",positive,el lugar es bastante bonito tiene dos ambientes bar y restaurante el restaurante tiene un aire de elegancia moderado bastante agradable el personal muy amable desde el señor del parqueo hasta el mesero y el chef la comida es buena y los precios accesibles la vista es sencillamente impresionante,5
445,"Bar, Estadounidense, Comida rápida, Pub",positive,el lugar es normal con el clásico estilo sport bar americano con un menú gringo que todo tico conoce y no sé como no se aburre las alitas son buenas atendimento también es bueno pasan deportes gringos y locales en la tv nada de uau que fenomenal vaya y disfrute una cerveza helada,3
446,"Bar, Estadounidense, Comida rápida, Pub",negative,venimos un grupo de 7 amigos pues parece un lugar alegre y un buen sports bar las meseras no son amables la comida se tarda más de 1 hora en llegar televisiones apagadas y cuando se pide cambio a un canal de deportes no lo cambian tienen suficiente staff para atender bien pero parece que no tienen buena voluntad,2
447,"Bar, Estadounidense, Comida rápida, Pub",positive,otro así dice la jara o chilera de hooligans que te invita a pedir otra antes de terminar y asi prolongar la estadía en este lugar y ayudar a calmar el agradable picor de las alitas de pollo un clasico de cr,5
448,"Bar, Estadounidense, Comida rápida, Pub",negative,muy rico las alitas pero los baños de trejos están fatalesespero que la cocina no sea tan cochina como los baños,2
449,"Bar, Estadounidense, Comida rápida, Pub",negative,fui a ver el barcelona vs real madrid nadie brinda atencion nadie pudo conseguirme una silla le pedi una cerveza a una mesera y no me la trajo porque no era su area pidala en la barra le hice caso y tuve que pagar al ser servido segun me indico el bartender no pedi mas ya que no me senti atendido y no era el unico me pregunto si el gerente o el dueno saben lo que dejan de vender en diad asi,1
450,"Café, Sudamericana",positive,el dueño te espera a usted mismo él es tan atento y pasa tiempo explicando y te ayuda a decidir qué es mejor f o a la orden su desayuno de burrito era caliente sabroso y la calle cappuchino perfecto está muy limpio y bien ventilado por dentro él también nos ayudó con las direcciones y ideas para excursiones ya que estamos visitando a su país por primera vezél ha estado abierto por sólo 5 meses pero tiene una buena ubicación buenos productos y una actitud fantástica ve a ver él,5
451,"Italiana, Mediterránea, Pizzería",positive,ubicado en el segundo piso de escazú village tiene un menú variado sin ser nada fuera de lo común los platos muy buenos servicio bueno precios medioalto,3
452,Café,positive,que éxito una combinación exquisita de sabores un nivel de calidad francés con un toque y sabores costarricenses,5
453,"Bar, Estadounidense",positive,el lugar es muy agradable buena música y partidos varias tv tiene muchas opciones en el menú y el personal está dispuesto hacer las variaciones a los platos para complacer a los clientes,5
454,"Bar, Estadounidense",negative,decidí ir a henrys con mi primo que estaba de visita desde estados unidos ya que estábamos viendo el partido decidimos tomar algunas cervezas como de costumbre el camarero nos preguntó a ver nuestro id pero no acepta el id de mi primo por ser un extranjero aunque ella es de 19 años me dije que si ella era un extranjero que tenía que llevar su pasaporte actual lo que me parece completamente absurda ya que es muy fácil perder un pasaporte si vas a tratar a sus clientes extranjeros en tales sentidos entonces te vas a asustar más probable es que lejos de los turistas así que en vez de pedir cervezas acabamos de agua después de que pedimos tres aperitivos que duró 30 minutos para estar listo y tres vasos de agua simple que duró 45 minutos para llegar a la mesa por el precio creo que el servicio era terrible y los turistas no son tratados correctamente no cabe duda de que no volveríamos,2
455,"Mariscos, Peruana, Latina",negative,el día de hoy visité el restaurante y quería degustar el platillo del salmón sin embargo a pesar que tiene un sabor aceptable no fue de mi agrado creo que deberían reinventar este platillo,2
456,"Mariscos, Peruana, Latina",negative,la leche de tigre ni la intenten pedir es un intento fallido de la original el servicio es bastante malo nada comparado al de alajuela el de allá si lo recomiendo,2
457,"Peruana, Latina, Mariscos, Española, Fusión, Sudamericana",negative,acabamos de estar en el restaurante y no queda mas que decir que ni pudimos comer llamamos antes de ir para ver a que hora cerraban cocina y nos contesto una niña llamada ana y nos dijo que cerraban cocina a las 11 teniendo en cuenta eso llegamos al restaurante a las 10 nos recibe el salonero y empieza a preguntarnos que que vamos a pedir sin darnos tiempo de leer la carta le pedimos que nos de tiempo de ver la carta y se va y vuelve al poco tiempo le volvemos a pedir tiempo y se va y vuelve de nuevo y nos dice que no es por molestar pero que la cocina cierra a las 1030 siendo las 1005 no sabemos cual era el afan o bueno si sabemos ya querian cerrar le digo que yo llame y me dijeron que cerraban cocina a las 11 y me dice que el dueño del restaurante esta en la cocina con el chef y que ya van a cerrar nunca nos habia pasado esto es un restaurante fue tan indignante que preferimos pararnos e irnos a comer a otra parte,1
458,"Italiana, Pizzería",positive,muy acogedor y excelente servicio la comida no tiene comparacion es un lugar para toda la familia por tal razon es recommendado,5
459,"Internacional, Española, Bar de vinos, Mediterránea",positive,fui allí con mis amigos y lo pasamos genial el servicio es maravilloso tienen un bar de vinos especiales para después del horario de oficina hora feliz probé diferentes tipos de vino ya que ofrecen varias opciones de 2 onzas de vino también tienen un mercado de vino en caso de que quiera comprar cualquier de los vinos que probamos y mucho másla comida era buena los tamaños eran entre un tamaño de tapa y un campo así que necesitas probar algunos para comer una comida completa pero los precios son razonables la presentación de la comida también es maravillosa la última noche sábado incluso tenían música en vivorecomiendo encarecidamente este restaurante,5
460,Italiana,negative,nuestro camarón ennegrecida era casi cruda y el servicio era terrible,2
461,"Latina, Española",negative,ni siquiera llegar a probarlo peor actitud posible del personal apuesta la comida es buena pero muy negativo ambiente,1
462,"Churrasquería, Sudamericana, Costarricense",negative,el pollo caribeño de eso no tiene nada de sabor es muy simple y seco para nada lo recomiendo el disque riceandbeans también no tiene nada de sabor,2
463,"Churrasquería, Sudamericana, Costarricense",negative,una decepción al pedir una picańa de muy mala calidad me sentí estafado en la porción y lo dura de la carne digna del mejor zapatero,1
464,"Café, Internacional",negative,lastima que el servicio estuvo fatal aparte sólo 1 silla de bebe tienen y no tienen cambiador para bebés,1
465,"Bar, Estadounidense, Pub",negative,fui el viernes 15 dic fuimos comer a este lugar dos personas pedimos 20 alitas 1 orden de papas y una jarra de cerveza y pagamos casi 39 mil colones esto me parece ridículamente caro al menos no perdí la lección ya tengo muy claro dónde no ir nunca que robo,1
466,"Bar, Estadounidense, Pub",positive,grandes platos me gustó el servicio bocas amable y bastante rápido pedir la cerveza sin hielo si no quieres cualquiera,4
467,"Bar, Estadounidense, Pub",negative,paramos en un viernes por la noche por una cerveza y nachos nachos eran caros y nunca me preguntó si quería más de 1 cerveza sábado en el bar durante 20 minutos con un vaso vacío de cerveza y estaba completamente ignorado y ni siquiera se llena de gente,2
468,"Café, Sudamericana, Costarricense",positive,un cafe cuyos propietarios son de barcelona españa han venido desde la lejania a preparar cafe y deliciosos jugos naturales en medio del pintoresco pueblo de escazu un lugar un tanto bohemio donde se rescata el gusto por los elixires de la dieta saludable con una decoracion simple y ecologica vale la pena darse una vuelta y recibir la voz catalana de bienvenida benvingut,4
469,"Parrillada, Parrilla, Mediterránea",negative,visitamos este restaurante recién abierto y llegamos a la conclusión de que más que su oferta gastronómica con lomque contaba era con una excelente campaña publicitaria el lugar carece de ambiente propio lo que hace que la música del restaurante argentino contigo a maradentro invada todo el ambiente tiene un menú muy limitado que creo que lo condena a su poco público en toda la noche se ocuparon tres meses,2
470,"Sudamericana, Costarricense",negative,sin embargo si quisiera hacer la observación de que la música estaba extremadamente alta para un restaurante familiar sin mencionar que era reguetón y luego mi hija me pregunto porque el cantante decía que felices los 4 de pésimo gusto para cerrar tienen banners del bac de 150 mts por todo lado anunciando un descuento de 30 si pagas con una tarjeta del banco pues a la hora de pagar el chavalo de la caja no dice nada y cobra la cuenta completa no necesitaba el descuento ni le mencioné nada a el colaborador y me retiré con esa sensación tan espantosa de no haber podido disfrutar de un almuerzo agusto en un feriado asesórense con el staff de heredia ellos si saben atender al público segunda y última vez,2
471,"Mexicana, Latina",negative,de los 3 comensales las frases fueron1lo mejor fieros los frijoles del burro y el chile2la sopa azteca como si el mismo tenosticlan la hubiera hecho3 hamburguesa me he comido mejores a 1600 colones,1
472,"Mexicana, Latina",negative,las alitas son secas y parecen de canario devolví el plato y querían cobrarlo después la calidad de la comida ha bajado mucho,1
473,"Peruana, Sudamericana",negative,hace un año lo visité y el sazón de la comida peruana fue éxito ahora regreso y me encuentro un pobre sabor platos sencillos y estúpidamente caros nada recomendable,1
474,"Estadounidense, Bar",negative,alitas asquerosas quemadas incomibles lo comento y solo me hacen un descuento de 10 es una broma nunca mas en la vida,1
475,"Japonesa, Sushi, Asiática",negative,compré dos tititcupones y para el primero asistí con mi novia el miércoles 26 de noviembre en la noche a pesar de que reservamos duraron una hora en darnos el pedido para llevar luego en la segunda ocasión el miércoles 3 de diciembre duraron una hora y media en darnos el pedido a pesar de haber reservado también como indican en su facebook y en el titicupón pero antes de eso nos quisieron levantar de la mesa en la que estábamos esperando nos cobraron 2000 colones por el pedido para llevar aun cuando en el titicupón sólo decía “pedidos para llevar 1000 colones” sin especificar que es por recipiente y cuando le exigimos una factura timbrada la cual no nos dio nos amenazó con llamar a seguridad me parece que se aprovechan del cliente porque saben que uno ya pagó el titicupón por adelantado además el administrador carece totalmente de empatía con el cliente recomiendo evitar lugares como ese a menos de que tengan una hora o más tiempo que quieran malgastar restaurantes de sushi hay por todo lado en estos días con precios módicos y buena atención por último dan una salsa de anguila que parece que le hayan echado vainilla líquida en lo personal sabe terrible,1
476,N/E,negative,fui un sábado a almorzar a este restaurante primero la atención deja mucho que desear servicio pésimo se pide que si se pueden hacer los dedos de pollo asados y no empanizados y dicen que no pedí un sándwich lorenzo light y venía en pan cuadrado frío las capas se estaban cayendo y el sabor era realmente horroroso termine con el estómago revuelto y las ganas de no volver uno pensaría que un sándwich no le puede quedar mal a nadie pero aquí me demostraron que sí,1
477,N/E,negative,nunca había ido y nunca volveré los refrescos calientes el hielo parece que no lo conocen la comida una porquería que se come mejor en cualquier soda de barrio hasta la peor es mejor que eso y la atención pésima principalmente de la cajera que tiene una pésima actitud,1
478,"Costarricense, Centroamericana, Churrasquería, Mariscos, Sopas",positive,un excelente ambiente para venir con la familia y amigos excelente servicio la comida muy rica y se puede venír con las mascotas,5
479,"Churrasquería, Latina, Argentina",negative,muy diferente a el novillo alegre del valle central limitadísimas opciones de carnes poca variedad del menú demasiado lenta la atención y olvidan los pendientes con los clientes hasta que se les recuerda definitivamente hay muchas mejores opciones locales que este restaurante,2
480,"Bar, Pub",positive,¡qué gran bar de cerveza para cualquier angloparlante en jaco este es un gran lugar para una noche tranquila y una excelente cerveza artesanal el propietario daniel es un expatriado de canadá y es totalmente hospitalario para una noche lejos de la típica noche de jaco ¡mira este lugar,5
481,"Bar, Pub",positive,visitamos el establecimiento de dan y me encantó el pequeño espacio acogedor se puede decir un montón de tiempo y esfuerzo han puesto en crear una atmósfera de pubhay una gran selección de artesanías cerveza de barril para que elijas en artesanías y disfrutar de una cerveza fría y una buena conversación,5
482,"Bar, Pub",positive,gran selección de cerveza es un lugar bastante bueno para sentarse y tienen algunas cervezas la comida parecía bueno también pero fuimos allí específicamente para tomar una copa,5
483,"Bar, Pub",positive,este es un lugar pequeño y pintoresco en la franja de jaco un poco dulce para disfrutar hideout cervezas auténticas artesanías de costa rica el propietario edgar es un anfitrión bien informado y elegante y entusiastas de artesanía obvio cerveza,5
484,"Asiática, Tailandesa, Saludable",positive,este lugar es verdaderamente una joya propiedad de una pareja que recientemente se trasladó desde alemania a seguir sus sueños el marido chef estudió cocina tailandesa en tailandia y trae los auténticos sabores de jaco he viajado a tailandia y esta comida es una de los mejores tailandés que he probado recomendaría este lugar a cualquiera que aprecie el sabor es evidente que la comida está hecha con pasión y profesionalidad el ambiente del restaurante es muy acogedor y el servicio es increíble debe probar mientras en jaco,5
485,"Estadounidense, Mariscos, Centroamericana, Costarricense, Internacional",positive,el lugar muy hermoso en la montaña precioso jardín el atardecer muy lindo la comida deliciosa especial para una cena romántica,5
